CODUSU;NRO_HOGAR;REALIZADA;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;IH_II_01;IH_II_02
"TQRMNOQYUHKMKUCDEFIAH00646712";1;1;2019;4;2;616;1;1
"TQRMNOQYUHLMKOCDEFIAH00646746";1;1;2019;4;2;529;1;1
"TQRMNOQYUHLMLUCDEFIAH00646733";1;1;2019;4;2;537;1;1
"TQRMNOQYVHJMLSCDEFIAH00622897";1;1;2019;4;2;506;1;1
"TQRMNOQYVHKOMLCDEFIAH00617352";1;1;2019;4;2;729;2;1
"TQRMNOQYWHJLLLCDEFIAH00622918";1;1;2019;4;2;744;2;2
"TQRMNOQYWHKOMLCDEFIAH00622964";1;1;2019;4;2;729;2;1
"TQRMNOQYXHKNKMCDEFIAH00617422";1;1;2019;4;2;561;2;1
"TQRMNOQYXHMMLMCDEFIAH00640423";1;1;2019;4;2;540;1;2
"TQRMNOQYYHJOMMCDEFIAH00622927";1;1;2019;4;2;655;1;1
"TQRMNOQYYHKNKMCDEFIAH00617365";1;1;2019;4;2;561;2;1
"TQRMNOQYYHMMLMCDEFIAH00646747";1;1;2019;4;2;540;1;2
"TQRMNORPPHJOMMCDEFIAH00622985";1;1;2019;4;2;655;1;1
"TQRMNORPPHKNKMCDEFIAH00617375";1;1;2019;4;2;561;1;1
"TQRMNORPQHJOMMCDEFIAH00622904";1;1;2019;4;2;655;1;1
"TQRMNORPQHKNKMCDEFIAH00617424";1;1;2019;4;2;561;1;1
"TQRMNORPQHKOLTCDEFIAH00617351";1;1;2019;4;2;401;2;1
"TQRMNORPQHKOLTCDEFIAH00617351";2;1;2019;4;2;401;2;1
"TQRMNORPRHJOMMCDEFIAH00622898";1;1;2019;4;2;655;2;2
